
2026/03/05 (01:54:33) | ===> btop++ v.1.4.6
2026/03/05 (01:54:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/03/05 (01:54:48) | ===> btop++ v.1.4.6
2026/03/05 (01:54:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/03/05 (02:10:07) | ===> btop++ v.1.4.6
2026/03/05 (02:10:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/03/05 (02:12:39) | ===> btop++ v.1.4.6
2026/03/05 (02:12:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/03/05 (02:13:00) | ===> btop++ v.1.4.6
2026/03/05 (02:13:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/03/05 (02:18:40) | ===> btop++ v.1.4.6
2026/03/05 (02:18:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/03/05 (02:26:01) | ===> btop++ v.1.4.6
2026/03/05 (02:26:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/03/07 (16:32:00) | ===> btop++ v.1.4.6
2026/03/07 (16:32:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/03/07 (16:33:20) | ===> btop++ v.1.4.6
2026/03/07 (16:33:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
